id,name,origin,type,subtype,value,description
9801,bolivia,builtin,country,6,bolivia,region: south_america
9803,brazil,builtin,country,6,brazil,region: south_america
9804,chile,builtin,country,6,chile,region: south_america
9805,colombia,builtin,country,6,colombia,region: south_america
9806,ecuador,builtin,country,6,ecuador,region: south_america
9807,falkland_islands,builtin,country,6,falkland_islands,region: south_america
9808,french_guiana,builtin,country,6,french_guiana,region: south_america
9809,guyana,builtin,country,6,guyana,region: south_america
9810,paraguay,builtin,country,6,paraguay,region: south_america
9811,peru,builtin,country,6,peru,region: south_america
9812,suriname,builtin,country,6,suriname,region: south_america
9813,uruguay,builtin,country,6,uruguay,region: south_america
9814,venezuela,builtin,country,6,venezuela,region: south_america
